Seller ID,Product ID,Price,Old Price,ADO,Stock,Rating,Offshore Seller
733066,47616389,503.56,2471.7,0.14,9365,1,True
281231,20755329,153.47,477.44,0.92,4087,2,False
224285,68064662,524.2,524.2,0.49,1996,5,True
789013,30836163,666.03,2193.65,0.97,3924,1,True
716871,83022747,754.56,1676.41,0.33,6932,5,False
900336,78694739,314.5,1802.22,0.03,816,5,False
169770,92976649,958.4,1181.37,0.64,9374,4,False
642010,72755847,689.71,689.71,0.6,6617,1,False
250697,52497958,2.78,7.45,0.15,6832,4,False
745689,53925738,349.17,468.72,0.43,9545,5,False
726823,81921959,681.53,3298.18,0.03,7615,2,False
211330,29832784,887.02,6485.14,0.97,6194,3,True
187500,78136319,629.89,1534.27,0.45,7172,4,True
990185,91016559,471.47,1305.12,0.32,9289,2,True
938987,77158062,530.17,634.11,0.14,8344,3,False
524910,44959447,52.59,101.19,0.9,6682,2,True
176659,56453318,567.42,567.42,0.91,7514,2,True
916539,62688224,810.72,810.72,0.75,466,3,False
100869,60889070,327.13,1838.66,0.06,8136,4,False
988480,45092150,795.33,816.44,0.98,3718,1,False
645024,30775878,788.42,2075.97,0.84,618,1,True
547283,57507526,840.13,1008.08,0.9,1055,3,False
282986,73027949,978.15,3138.32,0.9,5390,4,False
762516,97562408,573.61,4333.52,0.97,9997,1,False
732661,23946487,801.69,1909.91,0.81,4320,4,True
742652,80036883,131.38,737.73,0.41,2181,3,True
206552,75637394,43.55,59.43,0.66,383,5,False
767552,65976466,718.95,718.95,0.39,4706,4,True
844737,47571365,628.92,2820.85,0.68,705,1,False
420467,82382225,118.71,659.86,0.76,5667,2,False
222559,93906898,766.25,2430.27,0.94,2265,4,False
522572,40054057,298.45,1986.9,0.12,7221,5,False
479318,16243505,713.71,2798.99,0.95,2240,1,True
429055,15966731,495.83,495.83,0.95,109,3,True
275063,53434366,429.92,1165.89,0.54,9577,2,False
563038,46927069,394.31,1944.47,0.31,4345,2,False
379961,68584670,934.58,2149.97,0.16,6279,1,False
769837,72898989,430.89,1724.5,0.84,8897,2,True
793148,84052995,589.41,1321.55,0.83,5499,1,True
443365,43492441,22.53,85.36,0.72,1295,5,True
565857,18536868,548.19,1597.97,0.02,4869,4,True
185613,18761617,857.32,3454.64,0.83,1355,4,True
729643,70944389,417.71,889.02,0.9,1966,4,False
113425,37364062,958.65,2046.17,0.03,4215,4,True
305410,11893061,792.36,2171.31,0.76,3657,1,False
621410,83465427,969.05,5182.08,0.95,1663,2,False
642802,85811661,437.8,2148.63,0.67,9737,1,False
815462,92131756,732.62,1216.34,0.91,4403,1,False
263646,58630144,101.39,393.99,0.32,6423,1,False
178139,88265433,594.32,752.06,0.49,7315,5,False
786623,18134666,720.58,792.06,0.3,7476,5,True
840323,76544687,902.26,2830.9,0.09,7895,4,True
990786,38678207,486.19,699.47,0.31,2827,2,True
802120,12616584,674.38,1010.28,0.05,3351,1,True
181946,99192860,627.77,627.77,0.05,227,3,True
777049,24194763,356.02,356.02,0.5,2689,1,True
658152,27411817,418.25,2408.84,0.3,4103,2,True
190905,12237607,826.46,1259.52,0.29,5628,2,False
221289,83925405,967.53,1680.32,0.85,6748,1,True
741720,49425170,63.71,175.71,0.79,1360,4,False
519133,51335971,945.01,945.01,0.77,8851,2,False
978414,38261021,947.0,2759.77,0.87,9615,4,True
201369,87605928,3.64,21.08,0.13,5694,2,False
733353,48501258,388.72,827.03,0.39,9783,1,True
162850,89725277,919.03,1332.54,0.78,6274,3,True
460509,83115348,507.32,2654.34,0.24,2138,3,True
419291,31592745,904.19,1640.06,0.69,3360,4,False
859418,81237657,140.26,190.74,0.06,7931,4,True
150696,22648716,809.34,2168.63,0.63,3679,3,True
146374,36408764,244.25,244.25,0.19,1047,4,False
562716,35265410,966.02,5916.56,0.08,3247,3,False
765072,91528512,426.38,685.0,0.8,445,2,True
474185,93182736,956.12,1977.34,0.54,1254,2,True
808226,83425342,682.6,3024.31,0.23,9974,1,False
190728,24558156,326.51,341.46,0.29,4734,2,False
102408,70086937,428.85,1446.02,0.49,1404,5,True
689797,43107648,585.07,1692.44,0.67,8952,5,False
630750,67621357,85.2,499.86,0.1,5562,3,True
277192,83403017,148.82,404.98,0.47,4320,2,False
659407,99798266,895.5,895.5,0.11,5920,5,False
787382,33141628,172.3,371.81,0.23,62,3,False
158441,59661766,114.3,114.3,0.55,1954,3,False
510256,45094040,909.46,4759.32,0.17,7081,1,True
771674,65509054,657.34,3154.78,0.85,4795,1,True
280277,47808568,99.68,141.16,0.63,5403,5,False
884233,22804431,236.12,1152.72,0.82,6513,1,False
556081,77227425,716.0,865.14,0.01,5193,5,True
246615,68864698,98.72,251.99,0.34,1028,1,False
919451,46349436,184.36,466.99,0.58,7884,4,False
932079,97109852,336.44,1635.9,0.8,5435,1,False
896228,71200504,768.75,2196.82,0.94,4335,2,False
809989,23228692,495.55,700.88,0.1,4609,3,True
217974,45435955,950.3,2063.53,0.16,4216,2,False
852714,13299912,586.89,762.79,0.85,1915,4,False
674923,90819037,860.32,2025.64,0.89,630,3,True
948773,48014590,651.43,3327.93,0.64,8386,3,False
554321,96175418,909.67,1428.11,0.3,2096,2,False
218240,56519180,523.8,3168.11,0.09,8221,2,False
237733,47000117,331.48,472.59,0.83,2594,4,True
269208,21256208,116.58,833.02,0.44,417,5,True
276258,90617664,381.95,1270.21,0.08,7000,4,True
475444,96816881,970.57,1011.38,0.72,2106,4,True
698011,19761271,383.78,725.61,0.28,815,2,True
745769,11516554,16.59,27.68,0.03,3735,3,True
718371,99362342,691.44,2019.78,0.41,3421,1,True
530354,48267900,437.68,700.87,0.52,3627,4,True
113565,64386947,698.3,3050.95,0.4,9405,3,False
608975,11356877,723.39,2737.95,0.99,3820,5,False
953799,57987486,867.86,7767.68,0.06,9837,1,False
407680,53484926,706.43,1799.65,0.25,192,1,False
623728,44827250,376.49,540.2,0.87,735,1,True
573828,98551903,325.21,325.21,0.21,9315,2,False
927445,71436661,873.36,873.36,0.59,3889,5,True
684978,66133133,78.81,142.68,0.33,6098,1,False
773371,57084053,883.88,2636.19,0.4,1754,3,True
985059,61453826,545.73,1610.2,0.05,8442,3,False
410109,73344955,565.35,2834.86,0.13,9016,2,True
523200,45853615,135.32,400.44,0.28,4373,4,False
461699,42393895,856.21,2408.65,0.44,867,3,False
924770,17462223,300.26,351.12,0.7,3858,3,False
388060,98578638,610.14,3934.7,0.5,8461,2,False
820044,74418183,832.36,2792.92,0.44,8531,3,True
499065,83697016,143.45,243.45,0.93,7813,3,True
239294,13799008,771.5,2635.59,0.52,9235,2,True
476049,58632480,984.16,4970.88,0.9,5202,2,True
147710,14823094,585.56,1170.83,0.75,3229,4,False
948816,36269582,109.31,346.19,0.76,7310,4,False
752171,55540556,389.77,462.16,0.39,9489,3,False
178085,80446724,69.58,69.58,0.24,7446,1,True
103076,29911942,739.91,2245.85,0.34,4472,4,False
245295,18221659,172.89,691.38,0.06,5200,3,True
371049,62992921,414.31,717.51,0.57,5105,5,True
443207,76215383,602.08,1561.79,0.64,9152,2,False
481970,26831638,26.3,32.18,0.35,8148,2,False
441077,98397761,106.13,501.09,0.55,3777,2,False
340630,50868412,602.48,1621.61,0.77,6340,5,False
460602,32714211,108.81,108.81,0.39,2525,1,True
679989,24056310,266.47,693.58,0.07,8429,5,True
750461,39739460,620.2,2854.78,0.23,1845,1,True
241650,18021481,82.56,242.2,0.35,2120,4,True
119060,19782824,635.15,836.62,0.35,7084,4,False
120661,48315302,585.89,928.47,0.94,960,2,False
895281,87787391,350.02,976.54,0.5,738,4,True
818653,19469551,364.63,540.98,0.98,9529,1,False
826557,84145574,572.01,572.01,0.74,486,2,False
742048,38608087,502.74,3506.87,0.07,3861,4,False
446308,63904947,149.33,276.78,0.53,6481,4,True
169090,46754434,540.98,2602.94,0.39,4971,3,True
132919,91689691,580.62,3970.89,0.95,2169,5,True
643831,71301689,56.29,252.6,0.96,2948,2,True
435675,97976690,105.84,105.84,0.79,1775,4,False
330382,46007632,83.09,158.04,0.41,4018,5,True
433028,45366670,295.36,886.64,0.35,8981,1,True
389163,70187307,452.34,1144.12,0.87,9796,3,True
704316,20245920,564.6,3557.53,0.3,2870,2,False
785035,71766994,909.76,1549.03,0.64,3149,5,False
592387,13561630,624.61,3046.13,0.96,2633,5,True
906334,69283068,176.81,570.94,0.08,5091,5,True
378793,13662949,725.52,1227.52,0.47,9451,4,False
599842,57956565,227.17,354.28,0.54,7226,3,False
123035,96193087,397.63,2844.78,0.86,340,1,True
487567,44033847,348.64,1414.35,0.97,2729,3,False
408027,60523893,214.54,322.41,0.25,3525,3,True
482965,18348562,792.4,792.4,0.64,3565,5,True
797882,36774061,144.23,615.96,0.59,7004,1,False
679445,26562798,341.62,1529.04,0.27,6082,1,False
716085,82870920,784.3,4141.63,0.58,4434,2,False
294177,88477104,550.79,641.55,0.3,9163,5,True
368948,41726995,126.59,200.93,0.18,3613,4,True
474448,22871757,782.3,1988.47,0.01,8012,1,False
568237,53354927,625.9,2760.85,0.11,4182,4,True
531303,21341571,859.92,3137.89,0.38,80,3,True
922316,93982627,679.07,1062.22,0.17,4684,4,True
120813,33782392,49.5,72.22,0.65,7172,2,False
808607,98064036,516.49,2386.91,0.62,2693,5,True
615652,57143521,237.63,237.63,0.63,6821,2,False
266083,96038805,67.98,187.43,0.15,4569,2,True
105842,14572222,377.44,733.68,0.95,730,2,False
381282,36251106,889.34,889.34,0.65,5329,4,True
795475,67687398,110.97,111.58,0.28,5288,1,True
157609,48910682,117.03,669.86,0.18,8600,4,True
373013,46613874,526.71,1149.67,0.96,8625,5,True
460849,65759336,956.21,956.21,0.01,5124,5,True
600892,46166237,679.02,5960.73,0.35,9901,4,False
726706,78454664,986.32,986.32,0.71,238,5,False
129522,41775596,860.27,1045.02,0.15,5387,4,False
753112,99184465,403.15,706.14,0.75,8495,2,True
